# Time-averaged data for fix avg_density
# TimeStep v_rho_gcc
125000 1.03255
130000 1.02832
135000 1.03731
140000 1.03519
145000 1.03662
150000 1.03213
155000 1.02947
160000 1.03331
165000 1.03873
170000 1.02994
175000 1.03502
180000 1.02954
185000 1.03213
190000 1.0292
195000 1.02733
200000 1.03288
205000 1.02746
210000 1.03256
215000 1.02567
220000 1.03391
225000 1.03475
230000 1.03154
235000 1.03356
240000 1.03399
245000 1.04127
250000 1.03586
255000 1.02846
260000 1.03971
265000 1.03645
270000 1.02772
275000 1.0318
280000 1.02703
285000 1.03035
290000 1.04205
295000 1.03632
300000 1.03496
305000 1.0307
310000 1.03302
315000 1.03421
320000 1.03676
