# Time-averaged data for fix avg_rho
# TimeStep v_rho
500 1.00139
1000 0.979673
1500 0.997497
2000 1.0029
2500 0.979541
3000 0.971761
3500 0.986857
4000 0.99039
4500 1.00095
5000 0.987188
5500 0.99187
6000 0.986597
6500 0.981813
7000 1.00456
7500 0.967646
8000 0.977372
8500 0.945432
9000 0.980161
9500 0.991777
10000 0.997927
10500 1.00907
11000 1.01326
11500 1.01045
12000 1.00218
12500 0.996883
13000 1.01193
13500 0.988929
14000 0.981935
14500 0.965177
15000 0.972009
15500 0.973869
16000 0.971366
16500 0.976774
17000 0.993354
17500 0.977703
18000 1.00657
18500 1.00756
19000 0.981543
19500 0.973565
20000 0.985269
20500 1.00861
21000 0.993772
21500 0.998769
22000 0.974257
22500 1.00315
23000 0.988292
23500 0.98459
24000 0.998712
24500 0.98616
25000 0.993683
25500 1.02071
26000 1.0147
26500 1.02623
27000 0.988491
27500 0.976517
28000 0.995185
28500 0.971701
29000 0.976594
29500 0.97151
30000 0.984582
30500 0.983361
31000 0.971772
31500 0.973565
32000 0.973422
32500 0.960286
33000 0.986656
33500 1.00005
34000 0.984423
34500 0.998163
35000 1.01764
35500 1.01078
36000 0.989284
36500 0.981421
37000 0.955685
37500 0.982054
38000 0.981887
38500 0.968701
39000 0.986813
39500 0.990087
40000 0.994177
40500 1.00112
41000 1.00621
41500 1.00351
42000 1.01131
42500 1.02216
43000 0.993766
43500 0.992459
44000 0.999313
44500 0.98517
45000 0.959105
45500 0.997565
46000 0.993055
46500 1.00378
47000 1.00545
47500 0.991332
48000 0.993839
48500 0.999069
49000 0.984937
49500 0.976218
50000 1.00337
50500 1.00394
51000 1.0008
51500 0.979651
52000 0.971663
52500 0.999515
53000 0.969583
53500 0.985162
54000 0.981317
54500 1.01166
55000 1.00944
55500 1.00957
56000 1.00327
56500 0.994618
57000 0.997231
57500 1.00474
58000 0.972051
58500 1.00542
59000 0.992413
59500 0.990435
60000 0.987202
60500 0.999473
61000 0.983794
61500 0.965105
62000 0.977712
62500 0.975406
63000 0.980386
63500 0.964986
64000 0.956544
64500 1.00033
65000 0.978788
65500 0.974832
66000 0.988812
66500 0.995516
67000 0.995502
67500 0.969959
68000 0.999185
68500 0.983275
69000 0.980795
69500 0.97341
70000 0.97248
70500 0.985196
71000 0.987758
71500 0.973165
72000 0.998837
72500 0.992626
73000 0.984916
73500 0.998077
74000 0.987316
74500 0.988664
75000 0.984486
75500 0.969447
76000 0.961464
76500 0.968263
77000 0.953001
77500 0.94335
78000 0.982669
78500 0.99844
79000 0.973338
79500 0.993095
80000 0.997072
80500 1.01159
81000 0.988479
81500 0.987194
82000 0.978388
82500 0.96233
83000 0.982341
83500 0.980318
84000 0.990959
84500 0.980242
85000 0.993803
85500 0.995123
86000 0.983912
86500 1.00901
87000 0.984171
87500 0.965061
88000 0.975382
88500 0.983173
89000 0.976866
89500 0.984817
90000 0.969059
90500 0.993254
91000 0.986954
91500 0.993037
92000 0.990701
92500 0.998882
93000 0.969651
93500 0.956588
94000 0.981984
94500 0.998962
95000 0.976445
95500 0.998352
96000 1.00733
96500 0.968661
97000 0.987798
97500 0.975918
98000 0.997817
98500 1.00144
99000 1.00089
99500 1.00146
100000 1.00068
100500 1.01067
101000 0.960651
101500 0.982876
102000 0.988897
102500 0.987901
103000 0.98181
103500 0.986033
104000 0.967048
104500 0.971994
105000 0.989364
105500 0.992847
106000 0.978626
106500 0.972297
107000 0.968043
107500 0.957756
108000 0.984475
108500 0.971386
109000 0.966936
109500 0.972818
110000 0.967908
110500 0.991835
111000 0.985254
111500 0.998365
112000 1.00117
112500 0.974842
113000 0.990996
113500 1.02424
114000 0.994235
114500 0.994335
115000 0.98952
115500 0.977192
116000 0.984924
116500 0.977707
117000 0.984405
117500 0.99653
118000 1.0049
118500 0.981348
119000 0.99683
119500 1.00973
120000 0.997999
120500 0.999392
121000 0.988136
121500 1.00218
122000 1.01392
122500 0.976919
123000 0.965651
123500 1.00908
124000 1.01037
124500 1.01507
125000 0.985622
125500 1.00347
126000 0.989583
126500 0.978468
127000 0.976058
127500 0.974082
128000 0.957227
128500 0.964687
129000 0.984198
129500 0.9744
130000 0.973904
130500 0.965946
131000 0.96292
131500 0.964871
132000 0.999806
132500 0.981494
133000 0.991059
133500 0.982589
134000 0.973786
134500 0.978154
135000 0.999765
135500 0.992862
136000 0.966969
136500 0.978741
137000 0.970895
137500 0.959746
138000 0.97643
138500 0.971304
139000 0.971973
139500 0.990651
140000 0.974256
140500 0.977886
141000 0.985845
141500 0.98332
142000 0.965956
142500 0.998185
143000 0.985427
143500 0.979647
144000 0.976514
144500 0.92544
145000 0.954951
145500 0.973692
146000 0.959084
146500 0.956407
147000 0.959067
147500 0.967179
148000 0.987365
148500 1.00886
149000 0.997012
149500 0.989609
150000 0.971174
150500 0.993597
151000 0.987004
151500 0.986431
152000 0.998122
152500 0.987878
153000 1.00179
153500 1.00936
154000 0.995158
154500 0.993727
155000 0.987224
155500 0.996235
156000 0.992811
156500 0.98774
157000 0.981742
157500 0.988397
158000 0.978838
158500 0.95954
159000 0.998455
159500 0.989417
160000 0.985169
160500 0.988259
161000 0.979166
161500 0.979498
162000 0.992619
162500 0.983197
163000 0.982633
163500 1.00125
164000 0.984084
164500 0.993646
165000 0.99502
165500 1.01293
166000 0.994868
166500 1.01888
167000 0.997667
167500 0.999855
168000 0.988088
168500 0.963281
169000 0.968895
169500 0.983637
170000 0.993155
170500 0.982812
171000 0.985924
171500 0.989624
172000 0.994588
172500 1.00863
173000 0.989036
173500 0.988836
174000 0.984674
174500 1.02276
175000 1.0062
175500 0.996432
176000 1.00109
176500 0.984827
177000 0.974625
177500 0.992098
178000 1.00514
178500 0.99514
179000 0.994095
179500 0.968116
180000 0.979038
180500 0.969142
181000 0.975543
181500 0.99765
182000 0.996331
182500 0.989809
183000 1.00114
183500 0.972754
184000 0.981651
184500 0.974361
185000 0.980136
185500 0.995201
186000 0.989383
186500 0.978127
187000 0.963578
187500 0.981116
188000 1.00075
188500 0.979914
189000 0.977357
189500 0.977973
190000 0.977535
190500 0.980121
191000 0.964464
191500 0.983715
192000 0.991996
192500 0.999136
193000 0.97525
193500 0.99114
194000 0.977242
194500 0.964066
195000 0.974261
195500 0.966698
196000 0.982269
196500 0.965257
197000 0.964463
197500 0.970016
198000 0.974861
198500 1.0128
199000 1.00185
199500 0.981442
200000 0.978121
